ARTICULO;REGISTRO SANITARIO;CUM;ATC
CLAR002;2020M-0007529-R1;19980816-1;J01FA09
CLEM001;2018M-0018633;20150258-01;R06AA04
CLIN001;2015M-0003196;19943350-24;J01FF01
CLIN002;2020M-0003029-R2;19941276-1;J01FF01
CLOB001;2012M-0013386;20044093-1;N05BA09
CLON001;2013M-0002375-R1;19935777-05;N03AE01
CLON003;2013M-0002259-R1;19934941-05;N03AE01
CLON004;2009M-0009253;19995299-1;C02AC01
CLON005;2013M-0014329;20054403-01;N03AE01
CLOP001;2018M-0014559-R1;20056052-01;B01AC04
CLOR004;2018M-0007951-R1;19973372-03;P01BA01
CLOR016;2009M-13651R1;40377-03;A01AB03
CLOT001;2008M-0008894;19995244-1;G01AF02
CLOT003;2016M-002376-R2;21475-08;G01AF02
CLOZ001;2007M-0007242;19974655-03;N05AH02
CLOZ002;2021M-0007295-R1;19975977-02;N05AH02
COLC001;2020M-0010477-R1;20010760-04;M04AC01
COLE001;2008M-011167-R1;227601-02;C10AC01
COLI004;2015M-0016224;20081775-02;J01XB01
COMP001;2015M-005532-R3;46792-02;A11DB99
COMP002;2010M-002341-R3;34047-6;A11JA01
CROM001;2009M-0010100;19998840-01;S01GX01
DALT001;2009M-13601-R1;#N/D;J01XX09
DANA002;2010M-13969-R1;019905582-03;G03XA01
DAPT001;2020M-0015548-R1;20068003-02;J01XX09
DEXA001;2017M-0012145-R1;20019105-10;H02AB02
DEXA002;2008M-0007728;19930964-6;H02AB02
DEXA003;2009M-0009979;20004823-01;S02CA06
DEXM001;2020M-0016106-R1;20087299-01;N05CM18
DEXT001;2019M-000785-R4;1982214-02;B05BA03
DEXT002;2020M-000887-R4;29522-04;B05BA03
DEXT003;2015M-0003926-R1;19947845-07;B05BA03
DIAZ001;2016M-0011621-R1;20019151-01;N05BA01
DICL001;2015M-0003022-R1;19902446-4;M01AB05
DICL002;2016M-0004505-R1;19953296-8;M01AB05
DICL006;2008M-012122;230339-02;S01BC03
DICL007;INVIMA 2018M-0014657-R1;20058288-02;M02AA15
DIFE001;2006M-0005582;19962547-02;R06AA02
DIFE002;2015M-0016650;20096034-05;R06AA02
DIHI002;2008M-0007952;19984412-1;N02AA08
DIME001;2016M-015044-R2;19913783-47;R06AA99
DIPI002;2008M-0008780;19993036-08;N02BB02
DOBU001;2015M-0003960-R1;19942779-1;C01CA07
DOMP001;INVIMA 2019M-0009628-R1;19954931-1;A03FA03
DOPA001;2020M-012721-R2;19901001-01;C01CA04
DORI001;2019M-0009628-R1;19993380-04;J01DH04
DORZ001;2008M-0008331;#N/D;J01AA02
DORZ002;2008M-0008717;#N/D;N01BB02
DOXI001;2012M-0001874-R1;19930858-01;J01AA02
DULO001;INVIMA 2011M-0011884;20020419-1;N06AX21
DULO002;2019M-0015552-R1;20071938-01;J05AX12
DUTA001;2018M-0018007;20115124-1;G04CA52
EFAV002;2014M-0015155;20063470-1;J05AG03
EFED001;N/A;#N/D;A10BD20
