ARTICULO;REGISTRO SANITARIO;CUM;ATC
IRBE002;2018M-0006654-R1;19969441-01;C09CA04
FOND001;2017M-0001399-R2;19928346-02;B01AX05
ACET015;2017M-3895-R4;38991-02;H02AB08
VALS004;2020M-0007244-R1;19975971-04;C09CA03
ATOR003;2017M-0005892-R1;19963352-02;C10AA05
ISON001;N/A;N/A;N/A
HIDR014;2009M-013160-R1;19901625-1;L01XX05
AGUA004;2021M-0013573-R1;20041806-01;V07ABX1
ALIM008;RSA-006127-2018;N/A;N/A
DICL003;2016M-0004619-R1;19953925-01;J01CF01
ESCI002;2015M-0016680;20088762-01;N06AB10
ESPO004;2015M-0016328;20078798-01;A07FA03
GLIC004;2016M-0005012-R1;19954360-01;B05XA14
GLIC006;N/A;N/A;N/A
IBUP004;2016M-001237-R2;58073-01;M01AE01
LAMI007;2021M-0007440-R1;19975104-03;J05AF05
LEVE003;2018M-0018526;20122152-01;N03AX14
LEVO002;2016M-0004798-R1;19953957-01;N05AA02
LEVO016;INVIMA 2016 M-013339-R2;19902579-02;N01BB01
lopi001;2018M-0008553-R1;19994092-01;J05AR10
MELO004;2017M-0006201-R1;19965075-03;M01AC06
MOXI003;2016M-0011405-R1;20014297-01;S01AE07
MULT016;2007M-007193-R1;#N/D;
OMNI004;2018M-009499-R3;22542-09;V08AB02
OXIC001;2008M-0008586;19993083-02;N02AA05
PROX001; 2016M-07585-R3;111057-01;S01HA04
SALE001;2021M-0007276-R1;19976587-03;A07CA99
SEVO002;2020M-014996-R3;19975402-01;N01AB08
SIME001;2016 M-003893 R-2;1980366-03;A03AC02
SODI011;2020M-001117-R4;29523-02;B05XA03
TOPI004;2009M-0010037;20005150-01;N03AX11
TOBR001;2019M-0009892-R1;19993894-01;S01AA12
TRAM003; 2021M-000897-R3;51716-01;N02AX02
TRIM008;2015M-0003414R-1;19942431-03;C01EB15
TRIM009;2021M-006045-R4;20678-01;J01EE01
TROP002;2008M-001465-R3;33031-01;S01FA56
VACU008;2020MB-012551-R2;230249-01;J07CA06
VACU009;2019M-011972-R3;N/A;
VACU010;2014M-0015084;40062-05;J07AH03
VALS005;2020M-0007062-R1;19977789-02;C09DB01
VITA005;2021M-006220-R2;43462-02;B05BA10
VITA006;2020M-14228-R2;19900781-01;B05BA10
ZIDO002;2007M-0007425;19974944-01;J05AF01
AMLO001;2018M-006138-R2;55895-8;C08CA01
CIPR001;2021M-0012177-R2;20026284-04;J01MA02
HIDR002;2014M-0003102;19940721-15;H02AB09
BETA011;2021M-0016732-R1;20092728-01;D07AC01
HIDR001;2009M-001733-R3;34162-04;
